               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071731,            0.027564,             0.10491,           0.0045131,             0.67113,            0.011779,           0.0050663,            0.049913,           0.0086671,            0.083589,            0.070252,           0.0033053,           0.0033053
                   1,            0.049969,            0.020193,             0.08608,             0.92015,             0.02414,            0.024973,            0.010284,            0.049935,           0.0083548,            0.069005,             0.04023,           0.0066167,           0.0066167
                   2,            0.049352,            0.019205,            0.076921,             0.79107,            0.032674,            0.021724,            0.008413,            0.050127,            0.010298,             0.06739,            0.010186,           0.0099062,           0.0099062
                   3,            0.048086,             0.01963,            0.071171,              0.7897,            0.065067,             0.04719,            0.019128,            0.047415,            0.010004,            0.065312,            0.009901,            0.009901,            0.009901
                   4,            0.046893,            0.019424,            0.066306,             0.74333,            0.097973,            0.083731,            0.034133,            0.043267,           0.0085867,            0.056157,            0.009901,            0.009901,            0.009901
                   5,             0.04615,            0.019252,            0.061782,             0.69985,             0.10903,            0.086526,            0.037865,            0.045559,           0.0092079,            0.053494,            0.009868,            0.009868,            0.009868
                   6,            0.045336,            0.019116,            0.060061,             0.68685,             0.10734,             0.10348,            0.046389,            0.045778,           0.0093957,              0.0526,            0.009835,            0.009835,            0.009835
                   7,            0.045016,            0.018962,            0.057388,             0.64818,             0.16254,             0.15295,            0.067816,            0.044149,           0.0081295,            0.042724,            0.009802,            0.009802,            0.009802
                   8,            0.044676,            0.018758,            0.055297,             0.65029,             0.17929,             0.16298,            0.076065,            0.042471,           0.0086211,            0.046505,            0.009769,            0.009769,            0.009769
